رمز المادة,اسم المادة,اسم المستودع,المجموعة,الواحدة 1,الواحدة 2,الر مز الوارد,الإسم الوارد,سعر الشراء
SPER000132,مبسط عادي 40 / 3 ط 4 م,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,20114003040,,10
SPER000133,شبكة حديد 120 سم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICM000114,MESH STEEL 120 CM,50
SPER000134,مسمار ريشة أسود وأبيض 1.25×8,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,باكيت,,ICS000015,S.D.S. WHITElBLACK 8*1.25,30
SPER000135,رشاش صدأ 24حبة للكرتون,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICW000079,WD-40 (24PCS/CTN) ,10
SPER000136,اسياخ ابيض بالملي,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,2186011230,THREADED ROD GAL DIN 975-METRIC ,6.5
SPER000137,خوابير سلفر ملي,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,3246011040,,0.2
RAWM000031,خشب إم دي إف 5 مم عادي 4×8 سيام تايلاندي,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,لوح,,,,18
SPER000138,مفتاح ألين 5 مم ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICA000018,ALLEN KEY 5 MM,9
SPER000139,برغي مسطح 20×8,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICB000589,BOLTS FLUSH HEAD 8*20,0.6
SPER000140,برغي على شكل I 10×100,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICI000001,I-BOLTS 10*100,1
SPER000141,كاربون روستش صغير,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICC000556,CARBON ROSCH SMALL,15
SPER000142,لصق عازل صغير,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICI000006,INSULATION TAPES MINI,1.5
SPER000143,كماشة ذو طيات الأنف مقاس 8 بوصة فيليكس,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICP000294,"PLIER NOSE 8""",20
SPER000144,برغي على شكل I 10×90,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICI000009,I-BOLTS 10*90,1
SPER000145,PPFSS(WINDOW),Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,
SPER000146,شريط قياس 7.5 م خشبي تايواني,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICM000106,MEASURING TAPE WOOD 7.5M TAIWAN,20
SPER000147,برغي مسطح 20×10,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICB000598,BOLTS FLUSH HEAD 10*20,0.8
SPER000148,حبل نايلون 7 متر مقاس 35×8 مم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,رول,,,ICR000194,25
SPER000149,ريشة تربيط المسامير,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICP000166,PHILLIP BIT DOUBLE,5
SPER000150,قرص تقطيع حديد 4.5 بوصة فيليكس 3 مم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICC000247,"CUTTING DISCS PREMIUM FLEX S/S 4.5"" 3MM",5
SPER000151,اداة حفر حديد 5 مم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICD000094,DRILL BIT STEEL 5MM,6
SPER000152,شريط قياس 5 متر خشبي تايواني,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICM000099,MEASURING TAPE WOOD 5M TAIWAN,15
RAWM000032,صبغة بيضاء,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,10249,P.P.SUPPER WHITE,30
SPER000153,مسامير ستينلس ستيل 316 سنة كامل ملي ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,8888801639,,4.1
SPER000154,صواميل ستينلس ستيل 316 سنة كامل ملي ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,4051516050,,0.45
SPER000155,وردة صاج 316 ستينلس ستيل,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,3687016050,,0.5
SPER000156,عصا اسطوانة 3 متر,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICR000126,,18
SPER000157,اسطوانة سميكة ايطالي 9 بوصة,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICR000129,,10
SPER000158,مقبض اصفر 4 بوصة,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICR000128,,5
SPER000159,خوابير سلفر ستنلس ستيل 304 ملي,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,3816016035,,1.43
RAWM000033,كربونات كالسيوم ,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,طن,,,,700
RAWM000034,بودرة التلك,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,طن,,,,"1,400.000"
SPER000160,ورق سنفرة كوري 400,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,باكيت,,ICS000115,,1
RAWM000035,شحم فتشس,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,علبة,,ICG000043,,15
SPER000161,ماسورة ستانلس 12-1.2-304,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,ماسورة,,136,,35
SPER000162,اداة الحفر كوبالت 8 مم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICC000140,COBALT DWESSER 8 MM,12
SPER000163,قرص تقطيع 14 بوصة تايلاندي,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICC000239,"CUTTING DISC EAGLE THAI 14""",15
SPER000164,شاكوش جلدة مع بلاستيك كبير,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,9999808080,,15
RAWM000036,خشب إم دي إف عادي 12مم×122×244سم,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,لوح,,2043,,40
SPER000165,ريشة منشار رقم 11 فرنسي,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,9999839480,,2.57
