رمز المادة,اسم المادة,اسم المستودع,المجموعة,الواحدة 1,الواحدة 2,الر مز الوارد,الإسم الوارد,سعر الشراء
RAWM000001,أسيتون,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,ليتر,,,,
RAWM000002,هيترون,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,ليتر,,,HETRON 922-P,18
RAWM000003,كاتلست,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,ليتر,,,,
RAWM000004,فايبر جلاس مات 300,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,,,
RAWM000005,فايبر جلاس مات 400,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,,,
RAWM000006,صبغة,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كالون,,,,
RAWM000007,أكريليك,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,لوح,,,,
RAWM000008,غراء,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كالون,,,,25
RAWM000009,كابوسيل,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كيلو,,,,
PACK000001,نايلون تغليف,Packaging - تعبئة وتغليف - A,تعبئة وتغليف,رول,,,,85
SPER000001,كرت سنفرة مقاس 60 ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع لمعدات كهربائية,حبة,علبة,,,0.96
SPER000002,كرت سنفرة مقاس 120,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع لمعدات كهربائية,حبة,علبة,,,0.95
SPER000003,سلك لحام,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,كرتونة,,,0.5
SPER000004,سلك تعليق الملكان ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,ربطة,,,,
SPER000005,سطل ايطالي ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICB000257,BUCKETS ITALIAN,6
RAWM000010,معجون بادي فيلر,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,سطل,,,,65
SPER000006,فايبر دسك سنفرة ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع لمعدات كهربائية,حبة,,,,
SPER000007,كرت صاروخ قص 4.5 مل,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع لمعدات كهربائية,حبة,,,,85
SPER000008,فرشاة بوية للكاستينغ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICB000245,BRUSH PAINT 2,4.167
SPER000009,مشرط,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,5
SPER000010,سفنج بوية صغيرة - غيار رولة صغير,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICR000123,,1.5
SPER000011,قناع,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICM000080,MASKS 3-PLY,0.1
SPER000012,كرت صاروخ قص كبير,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع لمعدات كهربائية,حبة,,,,
PACK000002,شطرطون ورق ابرو,Packaging - تعبئة وتغليف - A,تعبئة وتغليف,حبة,,ICM000062,MASKING TAPE ABRO 2*18,3
SPER000013,مقابض اسطوانة صغيرة 4 بوصة - هاند رول,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICR000121,ROLLER HANDELS MINI 4 INCH,3
SPER000014,قطع شفرات تايواني للمشرط,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICB000098,BLADES SPARE TAIWAN,1
SPER000015,قرص تقطيع كاربوسان 4.5 بوصة,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع لمعدات كهربائية,حبة,باكيت,ICC000235,,2.5
SPER000016,ورق سنفرة دائري 4.5 بو صة ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع لمعدات كهربائية,حبة,باكيت,,,2.2
SPER000017,سكين صيني - مشرط,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع لمعدات كهربائية,حبة,,,,5
SPER000018,رأس شطاف,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,10
SPER000019,ملزمة قياس الاسلاك 18 مم / 10 كيلو جرام,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,رول,,,,85
SPER000020,برغي حديد مكلفن 12×50,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,1
SPER000021,جهاز تشغيل فلورسنت 20/40 واط,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,20
SPER000022,أداة حفر كوبالت 3 مل,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,55
SPER000023,كفوف قطن ابيض ثقيل,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICG000013,GLOVES COTTON THAILAND,1
SPER000024,رفرف طحن 4.5 بوصة ( فيليكس / كراب ) 80,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,علبة,,,,55
SPER000025,صامولة حديد مكلفن 12 مل,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,علبة,,,,
SPER000026,وردة مسطحة 12 مل,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,علبة,,,,
SPER000027,مسامير خشب 60×10 ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,0.5
SPER000028,برغي حديد مكلفن 10×35,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,0.4
SPER000029,استانلس ستيل 3×1220×2440مم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,لوح,,,,850
RAWM000011,CSM 450-EMCL (TSH),Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,حبة,,,,7.5
RAWM000012,SOLVENT CLEANER PRC-01 ,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,حبة,,,,8
SPER000030,ريشة مقاس 12 لماكينة CNC,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,DIA 12 CARBIDE END MILL,150
SPER000031,ريشة مقاس 8 لماكينة CNC,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,DIA 8 CARBIDE END MIL,69.5
SPER000032,ريشة مقاس 10 لماكينة CNC,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,DIA 10 CARBIDE END MIL,112.5
SPER000033,ريشة مقاس 6 لماكينة CNC,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,DIA 6 CARBIDE END MIL,37
SPER000034,ريشة مقاس 4 لماكينة CNC,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,DIA 4 CARBIDE END MIL,37
SPER000035,ريشة مقاس 12 لماكينة CNC,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,DIA 12 BALL NOSE CARBIDE ,182
SPER000036,ريشة مقاس 10 لماكينة CNC,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,DIA 10 BALL NOSE CARBIDE ,160
SPER000037,ريشة مقاس 8 لماكينة CNC,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,DIA 8 BALL NOSE CARBIDE ,73
SPER000038,ريشة مقاس 6 لماكينة CNC,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,DIA 6 BALL NOSE CARBIDE ,46
SPER000039,ريشة مقاس 4 لماكينة CNC,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,DIA 4 BALL NOSE CARBIDE ,46
RAWM000013,بوية ملكان,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,,,60
PACK000003,شطرطون شفاف,Packaging - تعبئة وتغليف - A,تعبئة وتغليف,حبة,,ICM000074,MASKING TAPE TRANSPARENT ORIGINAL,4
SPER000040,ماسورة استانلس ستيل 25×1.5,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,ماسورة,,,,60
RAWM000014,تنر,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01C050510005,XL 2K THINNER SLOW 4.75,65
SPER000041,مصفاة للبوية,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,عبوة,,02H122310001,PAINT STRAINERS,
SPER000042,اقلام ماركر ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICM000057, MARKER,2
SPER000043,طقم مكشطة حديد,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,طقم,,ICS000555,SCRAPPER STEEL SET,10
SPER000044,ريشة دريل مقاس 8,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,9999822740,STEEL DRIL BIT 8 MM JOBBERS,11
SPER000045,مسمار دراي وول اسود مقاس 8×2,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,2134030150,,0.02
SPER000046,مسمار دراي وول اسود مقاس 8×1,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,2134030135,,
SPER000047,اسطوانة قص خشب مقاس 9 انش,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,9999982163,,70
SPER000048,كاربون ماكيتا وبوستش,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,علبة,ICC000068,,25
SPER000049,صامولة حديد مكلفن مقاس 10 مم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,كيلو,,ICN000031,,13
SPER000050,ورق سنفرة مقاس 120,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,متر,علبة,ICS000121,,8
SPER000051,ورق سنفرة مقاس 80,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,متر,علبة,ICS000127,,50
RAWM000015,منشف سريع - تنر حار XL,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,علبة,,,,30
RAWM000016,معجون دوكو,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,علبة,,,,75
RAWM000017,معجون 2000,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,علبة,,,,37.5
RAWM000018,معجون حديد 2000,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كالون,,,,37.5
RAWM000019,ماسورة حديد مقاس 1.20,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,ماسورة,,,,20
RAWM000020,مربع حديد 12×12 -1.20,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,حبة,,,,10
SPER000052,صامولة حديد مكلفن مقاس 8 مم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,كيلو,,ICN000030,,10
SPER000053,برغي الين  10×35,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,0.75
SPER000054,مسامير حديد 14×1.5 انش,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,باكيت,,,,6
SPER000055,تيوب 80×40×2مم مستطيل اسود,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,30
SPER000056,تيوب 40مم×40سم×1.20مم× 6متر,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,25
SPER000057,نظارات سلامة بلاستيك ابيض,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,5
SPER000058,نظارات سلامة للتلحيم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,10
SPER000059,وردة مسطحة 10 مل,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,كيلو,,,,14
SPER000060,قاعدة صاروخ مقاس 6,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع لمعدات كهربائية,حبة,,,,40
SPER000061,قرص تقطيع 14 بوصة دان مولر,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع لمعدات كهربائية,حبة,باكيت,,,15
SPER000062,قابس خوابير 12 مم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,باكيت,,,,6
SPER000063,مسامير خشب 10×70,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,0.7
SPER000064,برغي حديد مكلفن 10×30,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,0.3
RAWM000021,معجون غراء 2000,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,علبة,,,,15
SPER000065,فرشاة بوية رول,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,5
SPER000066,فرشاة بوية مقاس 3 كبير,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,50
RAWM000022,غراء لوكتايت,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,حبة,,,,30
SPER000067,ورق سنفرة 220 ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع لمعدات كهربائية,حبة,باكيت,,,1
SPER000068,قاعدة صاروخ مقاس 7,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع لمعدات كهربائية,حبة,,,,35
SPER000069,قابس كهرباء مسطح 3 فتحات,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,6
SPER000070,شفرات منشار فرنسي ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,0.4
SPER000071,مقص 6 بوصة,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,10
RAWM000023,بوية بلاستيك,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كالون,,,,45
PACK000004,شطرطون ورق ابرو صغير,Packaging - تعبئة وتغليف - A,تعبئة وتغليف,حبة,,ICM000063,MASKING TAPE ABRO 1*20,2
SPER000072,ورق سنفرة كوري 220,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICS000111,SAND PAPER KOREAN 220,0.25
SPER000073,مسامير خشب 10×50,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,0.7
SPER000074,مفتاح / شقاطة براغي 0.5 بوصة صيني,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,50
SPER000075,مفتاح براغي جهة واحدة 17 مم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,13
SPER000076,ملزمة قياس الاسلاك 16 مم / 10 كيلو جرام,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,رول,,ICB000075,BINDING WIRE GAUGE 16MM/10 KG,75
SPER000077,كماشة خرطوم نحاس 0.25 بوصة,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICN000012,NIPPLE BRASS FOR HOSE 1/4,6
SPER000078,تفلون واسع 50 متر,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICT000075,TEFFLON WIDE 50M,5
SPER000079,فرشاة خشب الماني,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICB000244,BRUSH MASONARY,7
SPER000080,مشابك خرطوم مسكة قوية 16 مم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,باكيت,,ICH000187,HOSE CLAMPS HI-GRIP UK.,18
SPER000081,خرطوم هواء 6×10,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICA000055,AIR HOSE 6*10 (100M/ROLL),8
SPER000082,منفضة هواء,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICA000011,AIR DUSTER,10
SPER000083,حجر دريل صغير,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICM000124,MOUNTED STONE FOR DRILL SMALL,10
SPER000084,مبسط عادي 12.7/11 ط 4 م,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,قطعة,,20111127040,,3
SPER000085,قفازات منقطة ذو سلامة مزدوجة,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,علبة,حبة,ICG000015,,5
SPER000086,مسمار ابيض 4.6 خشن ملي ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,2011011268,HEX BOLT 4.6 UNC GAL - METRIC,0.225
SPER000087,صواميل ابيض خشن ملي,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,2601511040,HEX NUT UNC GAL DIN 934 - METRIC,0.1
RAWM000024,خشب إم دي إف 9 مم درجة اولى,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,لوح,,10022,,30
SPER000088,حذاء السلامة مقاس 44,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICS000081,SAFETY SHOES SIZE 44,45
SPER000089,كوع بلاستيك 90 درجة 1,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICE000075,ELBOW 90 UPVC 1,3
SPER000090,شفاط نحاس 1 بوصة ايطالي,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICV000069,,55
SPER000091,تفلون صيني صغير ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,علبة,,ICT000074,TEFFLON CHINA SMALL,3
SPER000092,أداة حفر هيلتي 160×10 مم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICD000075,DRILL BIT HILTI 160*10 MM,15
